id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
259,0,2,185,100.0,100.0,3,58845,0,0,-2,2,13.8,1,2,1.8,1.3,0,Ciaran,1.3,12,2,41.5,False,289.8,1014,,2019-12-09T10:00:20.096036Z,43,0,0,0,58845.jpg,3.5,0,0,Clark,0.3,False,,a,13,4,110.0,42,62664,537,59764,395,0.3,9.8,Clark,3
476,1,2,232,100.0,100.0,5,168991,0,0,0,0,135.7,0,3,1.7,1.2,2,Philip,1.2,26,0,73.4,False,382.8,1712,,2019-11-23T20:00:18.721417Z,50,0,0,0,168991.jpg,1.9,0,0,Billing,0.1,False,,a,3,91,214.0,42,16829,109,20345,168,0.2,8.4,Billing,7
467,1,5,197,0.0,0.0,3,101184,0,0,-1,1,113.5,0,2,0.0,0.0,0,Calum,0.7,15,1,58.7,False,272.0,1102,Knee injury - Expected back 01 Jul,2019-12-29T14:30:27.183032Z,44,0,0,0,101184.jpg,3.0,0,0,Chambers,0.7,False,,i,1,3,203.0,42,140364,12,164710,1132,0.2,9.5,Chambers,5
234,0,5,166,100.0,100.0,0,220688,0,0,-1,1,73.0,0,4,3.2,3.2,1,Mason,2.7,8,4,46.0,False,174.4,476,,2019-10-07T15:00:20.948895Z,44,0,0,0,220688.jpg,2.2,0,0,Greenwood,13.1,False,,a,12,1,217.0,42,1382447,24861,1544552,32950,0.6,9.5,Greenwood,0
19,1,0,225,100.0,100.0,3,198849,0,0,-3,3,167.7,0,3,2.7,2.2,5,Lucas,2.2,20,1,61.7,False,257.8,1298,,2020-01-11T15:00:20.592287Z,47,0,0,0,198849.jpg,2.0,0,0,Torreira,1.2,False,,a,1,3,190.0,42,85277,2532,152219,1221,0.5,8.9,Torreira,3
370,1,3,149,0.0,0.0,4,108413,0,0,-2,2,159.1,0,3,0.0,0.0,0,Will,0.5,22,1,48.3,False,182.8,1154,Knock - Expected back 01 Feb,2019-12-28T17:00:19.675638Z,53,0,0,0,108413.jpg,2.5,0,0,Hughes,0.3,False,,i,18,57,142.0,42,63251,5,69135,393,0.1,7.9,Hughes,3
517,3,3,161,,,1,106837,0,0,-2,2,111.6,0,3,2.8,3.3,0,Dennis,2.8,8,1,40.7,False,151.2,705,,,53,0,0,0,106837.jpg,2.6,0,0,Praet,0.1,False,,a,9,13,146.0,41,7840,278,8985,544,0.5,7.7,Praet,0
407,1,1,249,100.0,100.0,2,107613,0,0,-1,1,120.1,0,2,0.7,0.2,1,Romain,1.2,26,2,70.5,False,378.6,1533,,2019-11-23T17:30:21.458182Z,44,0,0,0,107613.jpg,2.0,1,0,Saïss,0.7,False,,a,20,39,206.0,41,94104,863,70139,1839,0.3,9.3,Saïss,7
346,2,2,154,100.0,100.0,3,62974,0,0,-3,3,222.4,1,3,1.0,2.5,3,Erik,1.5,9,2,66.3,False,179.8,805,,2019-10-27T16:30:10.051580Z,57,0,0,0,62974.jpg,2.9,0,0,Lamela,1.2,False,,a,17,6,262.0,41,485792,650,504573,875,0.3,7.2,Lamela,2
137,1,3,121,0.0,0.0,4,86417,0,0,-1,1,95.3,1,3,0.0,0.0,0,Jeffrey,0.0,12,2,52.7,False,198.0,856,Muscle injury - Unknown return date,2019-12-07T20:00:14.825615Z,54,0,0,0,86417.jpg,2.9,0,0,Schlupp,0.1,False,,i,7,31,233.0,40,19943,5,25764,96,0.0,7.4,Schlupp,2
