id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
297,1,7,155,,,3,153723,0,0,5,-5,130.4,2,2,4.2,5.2,5,John,5.2,7,1,36.0,True,138.4,688,,,45,0,0,0,153723.jpg,4.9,0,0,Lundstram,31.5,False,,a,15,49,91.0,39,1752469,69396,218554,8364,1.2,8.7,Lundstram,3
31,1,4,141,,,2,122806,0,0,3,-3,159.3,0,3,5.5,5.0,1,John,5.5,12,3,59.7,False,235.4,720,,,58,0,0,0,122806.jpg,4.9,0,0,McGinn,12.0,False,,a,2,7,203.0,39,903223,56030,302334,21535,0.9,6.7,McGinn,1
411,0,4,155,,,3,38533,0,0,1,-1,0.0,0,1,4.5,3.5,6,Rui Pedro,4.5,11,0,17.8,True,176.2,720,,,51,0,0,1,38533.jpg,4.8,0,20,dos Santos Patrício,10.3,False,,a,20,39,0.0,38,496386,75715,222639,6025,0.9,7.5,Patrício,0
233,2,7,132,100.0,100.0,2,176297,0,0,-1,1,146.0,1,4,3.7,4.7,2,Marcus,4.2,7,3,59.8,False,171.4,683,,2019-09-22T15:00:11.044112Z,84,0,1,0,176297.jpg,4.8,0,0,Rashford,10.1,False,,a,12,1,280.0,38,829660,3685,1448369,29457,0.5,4.5,Rashford,1
68,3,5,115,,,0,78007,0,0,-2,2,127.7,1,4,6.5,6.0,2,Joshua,6.5,13,2,46.1,False,178.6,708,,,63,0,0,0,78007.jpg,4.8,0,0,King,9.5,False,,a,3,91,155.0,38,384280,41619,1004610,19796,1.0,6.0,King,0
457,1,5,146,100.0,100.0,3,103123,0,0,-1,1,106.8,1,4,3.5,3.5,5,Sébastien,3.5,10,4,69.8,False,204.4,630,,2019-08-15T15:30:11.044189Z,74,0,0,0,103123.jpg,5.3,0,0,Haller,5.2,False,,a,19,21,387.0,37,461471,15216,395336,12058,0.5,5.0,Haller,1
47,0,6,176,,,3,131897,0,0,1,-1,0.0,0,1,5.8,4.8,7,Mathew,5.8,10,0,20.0,False,199.8,720,,,46,0,0,0,131897.jpg,4.4,0,24,Ryan,13.9,False,,a,4,36,0.0,35,435401,71343,339430,5733,1.3,7.6,Ryan,0
342,3,3,111,100.0,100.0,1,85971,0,0,3,-3,148.7,1,3,8.0,8.0,2,Heung-Min,7.0,9,2,55.4,False,163.8,483,,2019-06-25T11:30:07.273840Z,98,0,0,0,85971.jpg,5.8,0,0,Son,12.2,False,,a,17,6,242.0,35,937176,33971,249632,59420,0.7,3.6,Son,0
218,1,2,145,,,1,165809,0,0,-1,1,115.7,1,3,7.2,7.2,1,Bernardo Mota,6.2,8,4,64.2,False,206.6,371,,,79,0,0,0,165809.jpg,5.0,0,0,Veiga de Carvalho e Silva,15.0,False,,a,11,43,320.0,35,536308,34909,1184149,45241,0.8,4.4,Bernardo Silva,2
409,2,5,116,100.0,100.0,3,102057,-1,1,-4,4,131.8,0,4,4.0,3.0,10,Raúl,4.0,10,2,51.9,False,156.4,673,,2019-08-02T08:30:15.227417Z,71,0,0,0,102057.jpg,4.2,0,0,Jiménez,8.7,False,,a,20,39,232.0,34,257086,29766,1084601,11084,0.6,4.8,Jiménez,1
