,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gameweek,id_,sum_points,web_name
620,0,0,23,1,0.0,212,84,0,0,2.0,19.6,2019-10-19T16:30:00Z,90,7,0,0,0,0,9,2,1499826,2,0,0.0,6,-17649,42647,60296,61,False,0,9,212,35,Ederson
621,0,2,32,1,3.0,212,95,0,0,3.8,35.4,2019-10-26T11:30:00Z,90,2,0,0,0,0,10,5,1510598,0,3,0.0,9,2523,26409,23886,61,True,0,10,212,44,Ederson
622,0,0,6,0,0.0,212,107,1,0,0.6,6.2,2019-11-02T15:00:00Z,90,16,0,0,0,0,11,2,1552931,1,2,0.0,1,28443,50729,22286,61,True,1,11,212,45,Ederson
623,0,0,0,0,0.0,212,114,0,0,0.0,0.0,2019-11-10T16:30:00Z,0,10,0,0,0,0,12,0,1341787,1,3,0.0,0,-195480,7313,202793,61,False,0,12,212,45,Ederson
624,0,0,21,0,0.5,243,9,0,1,5.1,33.0,2019-08-11T15:30:00Z,16,6,0,0,0,0,1,0,128489,0,4,17.0,6,0,0,0,60,True,0,1,243,6,James
625,0,0,6,0,6.4,243,20,1,0,2.9,2.8,2019-08-19T19:00:00Z,88,20,0,0,0,0,2,0,171379,1,1,20.0,1,18587,37336,18749,60,False,1,2,243,7,James
626,0,0,13,0,4.3,243,25,2,1,10.6,36.0,2019-08-24T14:00:00Z,90,7,0,0,0,0,3,0,159810,2,1,66.0,6,-15327,15528,30855,60,True,1,3,243,13,James
627,0,1,23,0,33.0,243,39,1,1,15.3,52.2,2019-08-31T11:30:00Z,90,16,0,0,0,0,4,0,305785,1,1,68.0,8,119436,147514,28078,60,False,0,4,243,21,James
628,0,0,-2,1,1.4,243,45,0,0,0.4,0.0,2019-09-14T14:00:00Z,90,9,0,0,0,0,5,0,970465,0,1,6.0,2,596751,649342,52591,62,True,1,5,243,23,James
629,0,0,7,0,16.5,243,60,2,0,2.7,2.8,2019-09-22T13:00:00Z,90,19,0,0,0,0,6,0,909015,0,2,8.0,2,-41449,106361,147810,62,False,0,6,243,25,James
630,0,0,8,0,3.4,243,67,1,0,2.9,7.6,2019-09-30T19:00:00Z,90,1,0,0,0,0,7,0,842931,1,1,18.0,2,-75483,62670,138153,62,True,0,7,243,27,James
631,0,0,5,0,3.7,243,76,1,0,2.9,5.8,2019-10-06T15:30:00Z,90,13,0,0,0,0,8,0,823518,0,1,19.0,2,-28488,54305,82793,62,False,0,8,243,29,James
632,1,1,22,0,26.2,243,87,1,0,5.2,25.8,2019-10-20T15:30:00Z,90,10,0,0,0,0,9,0,721096,1,1,0.0,6,-104028,20554,124582,61,True,0,9,243,35,James
633,1,0,22,1,28.4,243,97,0,0,6.0,27.4,2019-10-27T16:30:00Z,79,14,0,0,0,0,10,0,791060,3,1,4.0,6,58232,85058,26826,61,False,0,10,243,41,James
634,0,0,13,0,37.5,243,103,1,0,5.0,9.0,2019-11-02T12:30:00Z,79,3,0,0,0,0,11,0,858325,0,1,3.0,2,60415,102262,41847,61,False,0,11,243,43,James
635,0,0,10,0,23.0,243,115,1,0,7.4,14.0,2019-11-10T14:00:00Z,90,4,0,0,0,0,12,0,903504,1,3,37.0,2,37848,85925,48077,62,True,0,12,243,45,James
636,0,1,28,1,10.0,93,3,0,0,3.6,25.6,2019-08-10T14:00:00Z,90,16,0,0,0,0,1,3,344271,0,3,0.0,8,0,0,0,45,True,0,1,93,8,Pope
637,0,0,24,0,10.3,93,11,2,0,6.6,54.0,2019-08-17T11:30:00Z,90,1,0,0,0,0,2,7,457584,1,2,2.0,3,55141,82331,27190,45,False,0,2,93,11,Pope
638,0,0,14,0,0.0,93,30,1,0,0.9,9.4,2019-08-25T15:30:00Z,90,20,0,0,0,0,3,2,573817,1,1,0.0,2,90981,127275,36294,45,False,0,3,93,13,Pope
639,0,0,23,0,0.0,93,32,3,0,3.2,32.2,2019-08-31T16:30:00Z,90,10,0,0,0,0,4,5,693050,3,0,0.0,2,99178,143033,43855,45,True,0,4,93,15,Pope
640,0,0,19,0,0.0,93,43,1,0,3.1,31.4,2019-09-14T14:00:00Z,90,4,0,0,0,0,5,4,870790,1,1,0.0,3,153960,183463,29503,46,False,0,5,93,18,Pope
641,0,0,24,1,0.0,93,52,0,0,1.5,15.0,2019-09-21T14:00:00Z,90,14,0,0,0,0,6,2,909245,0,2,0.0,6,40882,62455,21573,46,True,0,6,93,24,Pope
642,0,0,10,0,0.0,93,61,2,0,0.7,6.6,2019-09-28T14:00:00Z,90,2,0,0,0,0,7,1,993837,2,2,0.0,1,75141,91322,16181,46,False,0,7,93,25,Pope
643,0,1,25,1,0.0,93,73,0,0,1.4,14.4,2019-10-05T14:00:00Z,90,8,0,0,0,0,8,2,1025339,0,1,0.0,7,29005,45631,16626,46,True,0,8,93,32,Pope
644,0,0,8,0,0.0,93,86,2,0,0.6,6.0,2019-10-19T14:00:00Z,90,9,0,0,0,0,9,1,1049042,1,2,0.0,1,22182,49779,27597,47,False,0,9,93,33,Pope
645,0,0,14,0,0.0,93,93,4,0,2.2,21.6,2019-10-26T16:30:00Z,90,6,0,0,0,0,10,3,1041606,4,2,0.0,1,-8201,13419,21620,47,True,0,10,93,34,Pope
646,0,0,16,0,0.0,93,108,3,0,2.7,26.8,2019-11-02T15:00:00Z,90,15,0,0,0,0,11,3,1032242,0,3,0.0,2,-11352,14434,25786,47,False,0,11,93,36,Pope
647,0,2,29,1,0.0,93,111,0,0,2.6,26.4,2019-11-09T15:00:00Z,90,19,0,0,0,0,12,4,1017885,0,3,0.0,9,-15164,13527,28691,47,True,0,12,93,45,Pope
648,0,3,58,1,1.8,90,3,0,2,16.2,71.4,2019-08-10T14:00:00Z,83,16,0,0,0,0,1,0,43298,0,3,89.0,13,0,0,0,65,True,0,1,90,13,Barnes
649,0,0,22,0,3.5,90,11,2,1,12.3,38.0,2019-08-17T11:30:00Z,90,1,0,0,0,0,2,0,233541,1,2,81.0,5,105513,129929,24416,65,False,1,2,90,18,Barnes
650,0,1,23,1,2.2,90,30,0,1,6.1,35.6,2019-08-25T15:30:00Z,77,20,0,0,0,0,3,0,462696,1,1,23.0,7,193564,253226,59662,66,False,0,3,90,25,Barnes
651,0,0,0,0,4.0,90,32,2,0,0.2,0.0,2019-08-31T16:30:00Z,72,10,0,0,0,0,4,0,666994,3,0,5.0,2,177972,259444,81472,67,True,0,4,90,27,Barnes
652,0,0,-2,0,1.3,90,43,1,0,0.2,0.0,2019-09-14T14:00:00Z,90,4,0,0,0,0,5,0,760072,1,1,1.0,2,89304,232601,143297,67,False,0,5,90,29,Barnes
653,0,0,5,1,3.0,90,52,0,0,5.6,0.0,2019-09-21T14:00:00Z,78,14,0,0,0,0,6,0,676909,0,2,54.0,2,-86193,57570,143763,67,True,0,6,90,31,Barnes
654,0,0,1,0,10.8,90,61,2,0,1.9,2.0,2019-09-28T14:00:00Z,82,2,0,0,0,0,7,0,563453,2,2,6.0,1,-115630,34591,150221,66,False,1,7,90,32,Barnes
655,0,0,4,1,0.1,90,73,0,0,1.4,2.0,2019-10-05T14:00:00Z,72,8,0,0,0,0,8,0,480535,0,1,12.0,2,-85491,17311,102802,65,True,0,8,90,34,Barnes
656,0,0,0,0,0.0,90,86,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,9,0,0,0,0,9,0,346642,1,2,0.0,0,-135011,4969,139980,64,False,0,9,90,34,Barnes
657,0,0,-6,0,11.3,90,93,4,0,4.7,0.0,2019-10-26T16:30:00Z,62,6,0,0,0,0,10,0,291696,4,2,37.0,2,-57882,765,58647,64,True,0,10,90,36,Barnes
658,0,0,-7,0,1.2,90,108,3,0,0.9,0.0,2019-11-02T15:00:00Z,90,15,0,0,0,0,11,0,281377,0,3,18.0,1,-12277,17224,29501,63,False,1,11,90,37,Barnes
659,0,2,29,1,5.1,90,111,0,1,7.6,33.6,2019-11-09T15:00:00Z,80,19,0,0,0,0,12,0,265392,0,3,37.0,8,-15992,6858,22850,63,True,0,12,90,45,Barnes
660,0,0,16,0,0.3,295,2,1,0,2.2,19.6,2019-08-10T14:00:00Z,90,3,0,0,0,0,1,0,10565,1,1,2.0,2,0,0,0,45,False,0,1,295,2,Egan
661,0,0,18,1,0.0,295,18,0,0,1.2,11.8,2019-08-18T13:00:00Z,90,7,0,0,0,0,2,0,11355,0,1,0.0,6,-458,333,791,45,True,0,2,295,8,Egan
662,0,0,14,0,0.7,295,27,2,0,2.2,16.8,2019-08-24T14:00:00Z,90,9,0,0,0,0,3,0,13043,2,1,4.0,1,624,1652,1028,45,True,0,3,295,9,Egan
663,0,0,12,0,0.3,295,33,2,0,1.6,15.2,2019-08-31T14:00:00Z,90,6,0,0,0,0,4,0,12788,2,2,0.0,1,-577,409,986,45,False,0,4,295,10,Egan
664,0,0,15,0,0.7,295,47,1,0,2.1,18.0,2019-09-14T14:00:00Z,90,16,0,0,0,0,5,0,13101,1,0,2.0,2,-199,738,937,45,True,0,5,295,12,Egan
665,0,1,29,1,0.1,295,55,0,0,3.0,30.0,2019-09-21T14:00:00Z,90,8,0,0,0,0,6,0,12872,2,0,0.0,7,-347,243,590,45,False,0,6,295,19,Egan
666,0,0,9,0,0.3,295,68,1,0,2.0,18.0,2019-09-28T11:30:00Z,90,10,0,0,0,0,7,0,13469,1,0,2.0,2,231,834,603,45,True,0,7,295,21,Egan
667,0,0,27,1,0.4,295,79,0,0,2.7,19.0,2019-10-05T14:00:00Z,90,18,0,0,0,0,8,0,14961,0,0,8.0,6,1017,1498,481,45,False,0,8,295,27,Egan
668,0,2,26,1,0.2,295,88,0,0,3.6,17.8,2019-10-21T19:00:00Z,90,1,0,0,0,0,9,0,15850,0,1,18.0,8,645,1276,631,45,True,0,9,295,35,Egan
669,0,0,11,0,0.0,295,100,1,0,1.6,15.8,2019-10-26T14:00:00Z,90,19,0,0,0,0,10,0,20700,1,1,0.0,2,3856,4399,543,45,False,0,10,295,37,Egan
670,0,0,24,1,0.0,295,108,0,0,1.6,14.4,2019-11-02T15:00:00Z,78,5,0,0,0,0,11,0,25461,0,3,2.0,6,4180,5280,1100,45,True,0,11,295,43,Egan
671,0,0,15,0,0.2,295,119,1,0,1.8,17.6,2019-11-09T15:00:00Z,90,17,0,0,0,0,12,0,23480,1,1,0.0,2,-1587,743,2330,45,False,0,12,295,45,Egan
672,0,0,19,0,21.7,59,2,1,0,6.0,16.4,2019-08-10T14:00:00Z,90,15,0,0,0,0,1,0,1076302,1,1,22.0,2,0,0,0,50,True,0,1,59,2,Aké
673,0,0,8,0,0.0,59,12,1,0,3.9,20.6,2019-08-17T14:00:00Z,90,2,0,0,0,0,2,0,1059134,2,1,18.0,1,-70959,22968,93927,50,False,1,2,59,3,Aké
674,0,0,15,0,0.2,59,22,3,0,6.2,39.2,2019-08-25T13:00:00Z,90,11,0,0,0,0,3,0,921924,3,1,23.0,1,-145569,14293,159862,50,True,0,3,59,4,Aké
675,0,0,14,0,2.2,59,36,3,0,2.0,15.8,2019-08-31T14:00:00Z,90,9,0,0,0,0,4,0,860627,1,3,2.0,1,-74736,19849,94585,49,False,0,4,59,5,Aké
676,0,0,18,0,0.1,59,42,1,0,3.3,27.0,2019-09-15T13:00:00Z,90,8,0,0,0,0,5,0,805983,1,3,6.0,2,-63513,21874,85387,49,True,0,5,59,7,Aké
677,0,0,26,0,0.1,59,59,1,1,6.8,51.0,2019-09-20T19:00:00Z,90,16,0,0,0,0,6,0,780394,3,1,17.0,8,-31335,12517,43852,49,False,0,6,59,15,Aké
678,1,1,28,0,10.4,59,62,2,0,6.9,33.0,2019-09-28T14:00:00Z,90,19,0,0,0,0,7,0,812978,2,2,26.0,5,22670,47110,24440,49,True,0,7,59,20,Aké
679,0,0,19,0,10.3,59,71,1,0,3.4,23.8,2019-10-06T13:00:00Z,90,1,0,0,0,0,8,0,822665,0,1,0.0,2,8096,30720,22624,49,False,0,8,59,22,Aké
680,0,2,26,1,0.3,59,82,0,0,1.5,8.6,2019-10-19T14:00:00Z,90,14,0,0,0,0,9,0,838446,0,0,6.0,8,8139,31610,23471,49,True,0,9,59,30,Aké
681,0,2,30,1,0.7,59,99,0,0,1.7,16.0,2019-10-26T14:00:00Z,90,18,0,0,0,0,10,0,880906,0,0,0.0,8,37337,47117,9780,49,False,0,10,59,38,Aké
682,0,0,24,1,0.0,59,103,0,0,1.1,11.4,2019-11-02T12:30:00Z,90,12,0,0,0,0,11,0,946206,0,1,0.0,6,58263,78713,20450,50,True,0,11,59,44,Aké
683,0,0,22,0,11.2,59,116,2,0,3.9,27.6,2019-11-09T15:00:00Z,90,13,0,0,0,0,12,0,1054748,1,2,0.0,1,91821,104783,12962,50,False,0,12,59,45,Aké
684,0,0,0,0,0.0,505,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,15,0,0,0,0,1,0,62133,1,1,0.0,0,0,0,0,60,True,0,1,505,0,Harry Wilson
685,0,1,26,0,4.3,505,12,1,1,7.8,33.4,2019-08-17T14:00:00Z,75,2,0,0,0,0,2,0,60604,2,1,40.0,8,-9460,8355,17815,60,False,0,2,505,8,Harry Wilson
686,0,0,28,0,27.7,505,22,2,1,9.4,41.4,2019-08-25T13:00:00Z,53,11,0,0,0,0,3,0,82050,3,1,25.0,6,15595,28672,13077,60,True,0,3,505,14,Harry Wilson
687,0,0,5,0,13.5,505,36,2,0,3.4,2.0,2019-08-31T14:00:00Z,63,9,0,0,0,0,4,0,186324,1,3,18.0,2,92477,112825,20348,60,False,0,4,505,16,Harry Wilson
688,0,0,2,0,2.3,505,42,1,0,2.0,2.2,2019-09-15T13:00:00Z,56,8,0,0,0,0,5,0,212025,1,3,15.0,1,23824,54846,31022,60,True,0,5,505,17,Harry Wilson
689,0,0,23,0,0.8,505,59,1,1,4.9,31.0,2019-09-20T19:00:00Z,62,16,0,0,0,0,6,0,206403,3,1,17.0,6,-6930,26392,33322,60,False,1,6,505,23,Harry Wilson
690,0,0,8,0,20.5,505,62,2,0,3.2,11.0,2019-09-28T14:00:00Z,77,19,0,0,0,0,7,0,268985,2,2,0.0,2,56560,74810,18250,61,True,0,7,505,25,Harry Wilson
691,0,0,8,0,14.8,505,71,1,0,2.3,6.6,2019-10-06T13:00:00Z,78,1,0,0,0,0,8,0,248125,0,1,2.0,2,-18152,15704,33856,61,False,0,8,505,27,Harry Wilson
692,0,0,7,1,6.4,505,82,0,0,3.0,11.4,2019-10-19T14:00:00Z,68,14,0,0,0,0,9,0,252978,0,0,12.0,3,930,24352,23422,61,True,0,9,505,30,Harry Wilson
693,0,0,5,0,24.2,505,99,0,0,4.9,3.8,2019-10-26T14:00:00Z,29,18,0,0,0,0,10,0,239354,0,0,21.0,1,-13463,7934,21397,61,False,0,10,505,31,Harry Wilson
694,0,0,4,1,3.3,505,103,0,0,7.8,9.2,2019-11-02T12:30:00Z,85,12,0,0,0,0,11,0,192079,0,1,65.0,3,-46794,3120,49914,60,True,0,11,505,34,Harry Wilson
695,0,3,26,0,1.4,505,116,2,1,7.1,34.6,2019-11-09T15:00:00Z,65,13,0,0,0,0,12,0,188930,1,2,35.0,10,-5497,10104,15601,60,False,0,12,505,44,Harry Wilson
696,0,1,27,0,2.8,502,7,0,1,5.6,34.2,2019-08-10T14:00:00Z,26,18,0,0,0,0,1,0,19770,3,0,19.0,6,0,0,0,60,False,0,1,502,6,Maupay
697,0,0,-4,0,5.8,502,13,0,0,2.0,0.2,2019-08-17T14:00:00Z,23,19,0,0,0,0,2,0,52264,1,1,14.0,1,22016,27995,5979,60,True,0,2,502,7,Maupay
698,0,0,2,0,10.8,502,23,1,0,11.1,7.2,2019-08-24T14:00:00Z,73,16,0,0,0,0,3,0,49709,2,0,93.0,2,-2552,11143,13695,60,True,0,3,502,9,Maupay
699,0,0,8,0,12.0,502,37,3,0,2.6,3.6,2019-08-31T14:00:00Z,66,11,0,0,0,0,4,0,36784,0,4,10.0,2,-13321,2083,15404,60,False,0,4,502,11,Maupay
700,0,2,25,1,2.9,502,43,0,1,7.5,34.4,2019-09-14T14:00:00Z,83,5,0,0,0,0,5,0,37437,1,1,38.0,8,-1002,6463,7465,60,True,0,5,502,19,Maupay
701,0,0,3,1,4.2,502,58,0,0,9.9,0.0,2019-09-21T16:30:00Z,81,13,0,0,0,0,6,0,42582,0,0,95.0,2,4358,8883,4525,60,False,0,6,502,21,Maupay
702,0,0,0,0,4.1,502,63,2,0,0.6,0.0,2019-09-28T14:00:00Z,78,6,0,0,0,0,7,0,38765,0,2,2.0,1,-3925,3151,7076,60,False,1,7,502,22,Maupay
703,0,1,35,1,24.0,502,72,0,1,14.3,45.4,2019-10-05T11:30:00Z,90,17,0,0,0,0,8,0,36236,0,3,74.0,7,-2986,1838,4824,60,True,0,8,502,29,Maupay
704,0,0,4,0,26.9,502,81,1,0,9.1,5.2,2019-10-19T14:00:00Z,80,2,0,0,0,0,9,0,48147,1,2,59.0,2,10458,14514,4056,60,False,0,9,502,31,Maupay
705,0,3,28,0,26.1,502,92,2,1,9.3,37.4,2019-10-26T14:00:00Z,90,8,0,0,0,0,10,0,57812,2,3,29.0,9,9278,12933,3655,60,True,0,10,502,40,Maupay
706,0,0,-2,1,4.1,502,104,0,0,9.4,0.0,2019-11-02T15:00:00Z,90,14,0,0,0,0,11,0,142549,0,2,93.0,2,79145,84368,5223,60,True,0,11,502,42,Maupay
707,0,0,5,0,2.8,502,115,3,0,1.4,3.2,2019-11-10T14:00:00Z,90,12,0,0,0,0,12,0,109319,1,3,8.0,2,-27421,6023,33444,61,False,0,12,502,44,Maupay
708,0,0,3,0,2.1,172,5,0,0,1.9,5.4,2019-08-11T13:00:00Z,29,20,0,0,0,0,1,0,13242,0,0,11.0,1,0,0,0,60,True,0,1,172,1,Barnes
709,0,0,0,0,0.0,172,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,6,0,0,0,0,2,0,14322,1,1,0.0,0,-1160,937,2097,60,False,0,2,172,1,Barnes
710,0,0,23,0,5.1,172,27,0,1,6.1,34.4,2019-08-24T14:00:00Z,26,15,0,0,0,0,3,0,13165,2,1,21.0,6,-1865,854,2719,60,False,0,3,172,7,Barnes
711,0,0,8,0,15.7,172,36,1,0,4.6,5.0,2019-08-31T14:00:00Z,70,3,0,0,0,0,4,0,17833,1,3,25.0,2,3145,4751,1606,59,True,0,4,172,9,Barnes
712,0,0,2,0,1.3,172,45,0,0,1.1,5.2,2019-09-14T14:00:00Z,22,12,0,0,0,0,5,0,17988,0,1,4.0,1,-465,1852,2317,59,False,0,5,172,10,Barnes
713,0,0,8,0,23.3,172,56,1,0,8.2,9.2,2019-09-21T11:30:00Z,81,17,0,0,0,0,6,0,17545,1,2,49.0,2,-868,894,1762,59,True,0,6,172,12,Barnes
714,1,0,20,0,23.9,172,66,0,0,5.3,19.8,2019-09-29T15:30:00Z,57,13,0,0,0,0,7,0,18481,0,5,9.0,4,354,2122,1768,59,True,0,7,172,16,Barnes
715,0,0,0,0,0.8,172,74,1,0,0.5,0.6,2019-10-05T14:00:00Z,45,10,0,0,0,0,8,0,18382,1,2,4.0,1,-305,1207,1512,59,False,0,8,172,17,Barnes
716,2,3,33,0,38.4,172,86,1,0,12.1,40.4,2019-10-19T14:00:00Z,78,5,0,0,0,0,9,0,18492,1,2,42.0,11,-227,1035,1262,59,True,0,9,172,28,Barnes
717,2,0,34,1,50.3,172,98,0,0,12.8,32.2,2019-10-25T19:00:00Z,71,16,0,0,0,0,10,0,33996,9,0,45.0,9,14167,15575,1408,59,False,0,10,172,37,Barnes
718,0,0,1,1,1.3,172,105,0,0,0.9,1.0,2019-11-03T14:00:00Z,84,7,0,0,0,0,11,0,63094,2,0,7.0,3,28010,31719,3709,59,False,0,11,172,40,Barnes
719,0,0,6,1,19.0,172,113,0,0,5.7,5.4,2019-11-09T17:30:00Z,73,1,0,0,0,0,12,0,76734,0,2,33.0,3,13591,19651,6060,59,True,0,12,172,43,Barnes
720,0,0,22,0,22.1,29,6,3,0,4.9,27.0,2019-08-10T16:30:00Z,90,17,0,0,0,0,1,0,345002,1,3,0.0,2,0,0,0,60,False,0,1,29,2,Grealish
721,1,1,26,0,70.0,29,12,2,0,11.5,34.0,2019-08-17T14:00:00Z,90,3,0,0,0,0,2,0,369565,2,1,11.0,6,-2810,29014,31824,60,True,0,2,29,8,Grealish
722,0,0,14,1,13.5,29,21,0,0,3.2,7.6,2019-08-23T19:00:00Z,90,8,0,0,0,0,3,0,354999,0,2,11.0,3,-19343,22970,42313,60,True,0,3,29,11,Grealish
723,0,0,6,0,3.8,29,34,1,0,4.1,17.2,2019-08-31T14:00:00Z,90,7,0,0,0,0,4,0,339699,0,1,20.0,1,-20001,22284,42285,60,False,1,4,29,12,Grealish
724,0,0,11,1,33.7,29,41,0,0,7.1,27.0,2019-09-16T19:00:00Z,90,19,0,0,0,0,5,0,301823,0,0,10.0,2,-39813,9044,48857,60,True,1,5,29,14,Grealish
725,1,1,29,0,46.3,29,51,3,0,9.0,37.4,2019-09-22T15:30:00Z,90,1,0,0,0,0,6,0,272091,2,3,6.0,6,-31366,4008,35374,59,False,0,6,29,20,Grealish
726,0,0,10,0,36.1,29,61,2,0,6.8,12.8,2019-09-28T14:00:00Z,90,5,0,0,0,0,7,0,269224,2,2,19.0,2,-5752,14763,20515,59,True,0,7,29,22,Grealish
727,0,0,24,0,27.5,29,77,1,1,12.0,49.8,2019-10-05T14:00:00Z,90,14,0,0,0,0,8,0,250741,5,1,43.0,7,-18559,5063,23622,59,False,0,8,29,29,Grealish
728,1,3,48,0,69.2,29,81,1,1,23.3,77.4,2019-10-19T14:00:00Z,90,4,0,0,0,0,9,0,263973,1,2,86.0,13,9277,19454,10177,59,True,0,9,29,42,Grealish
729,0,0,0,0,2.5,29,95,3,0,0.6,3.4,2019-10-26T11:30:00Z,83,11,0,0,0,0,10,0,342709,0,3,0.0,1,73348,82133,8785,59,False,1,10,29,43,Grealish
730,0,0,0,0,0.0,29,102,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,10,0,0,0,0,11,0,308793,2,1,0.0,0,-31467,16336,47803,59,True,0,11,29,43,Grealish
731,0,0,0,0,0.0,29,120,0,0,0.0,0.0,2019-11-10T14:00:00Z,0,20,0,0,0,0,12,0,286069,1,2,0.0,0,-23066,7813,30879,59,False,0,12,29,43,Grealish
732,0,0,0,0,0.0,417,5,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,9,0,0,0,0,1,0,17995,0,0,0.0,0,0,0,0,50,False,0,1,417,0,Traoré
733,0,0,4,0,15.9,417,20,0,0,2.8,5.8,2019-08-19T19:00:00Z,45,12,0,0,0,0,2,0,18781,1,1,6.0,1,-2103,1140,3243,50,True,0,2,417,1,Traoré
734,0,0,1,0,0.8,417,30,0,0,0.9,0.6,2019-08-25T15:30:00Z,14,5,0,0,0,0,3,0,20573,1,1,8.0,1,474,3360,2886,50,True,0,3,417,2,Traoré
735,0,0,6,0,1.3,417,35,3,0,1.7,13.4,2019-09-01T13:00:00Z,90,8,0,0,0,0,4,0,20863,2,3,2.0,2,-457,2396,2853,50,False,0,4,417,4,Traoré
736,0,0,7,0,15.8,417,50,4,0,2.8,12.6,2019-09-14T14:00:00Z,55,6,0,0,0,0,5,0,23192,5,2,0.0,1,1265,3918,2653,50,True,0,5,417,5,Traoré
737,1,3,25,0,49.8,417,54,1,0,11.4,35.6,2019-09-22T13:00:00Z,90,7,0,0,0,0,6,0,22650,1,1,29.0,8,-801,1385,2186,50,False,0,6,417,13,Traoré
738,0,0,9,1,20.5,417,70,0,0,4.3,14.8,2019-09-28T14:00:00Z,86,18,0,0,0,0,7,0,27065,0,2,8.0,3,3405,5359,1954,50,True,0,7,417,16,Traoré
739,0,3,59,1,14.3,417,75,0,2,12.5,84.4,2019-10-06T13:00:00Z,90,11,0,0,0,0,8,0,26625,2,0,26.0,16,-461,2170,2631,50,False,0,8,417,32,Traoré
740,0,0,15,0,3.7,417,90,1,0,1.9,14.4,2019-10-19T14:00:00Z,90,16,0,0,0,0,9,0,214506,1,1,1.0,2,169903,181393,11490,51,True,0,9,417,34,Traoré
741,0,0,15,0,33.6,417,96,1,0,8.0,16.6,2019-10-27T14:00:00Z,90,13,0,0,0,0,10,0,259814,1,1,30.0,2,49246,65330,16084,51,False,0,10,417,36,Traoré
742,0,0,3,0,27.3,417,101,1,0,4.3,9.8,2019-11-02T15:00:00Z,90,1,0,0,0,0,11,0,260912,1,1,6.0,2,144,38894,38750,51,False,0,11,417,38,Traoré
743,1,0,26,0,18.8,417,120,1,0,6.1,30.2,2019-11-10T14:00:00Z,90,2,0,0,0,0,12,0,305096,1,2,12.0,5,37799,60034,22235,51,True,0,12,417,43,Traoré
744,0,0,20,1,0.5,123,4,0,0,1.8,15.4,2019-08-10T14:00:00Z,90,8,0,0,0,0,1,0,370787,0,0,2.0,6,0,0,0,55,True,0,1,123,6,van Aanholt
745,0,0,8,0,14.4,123,18,1,0,2.6,11.8,2019-08-18T13:00:00Z,90,15,0,0,0,0,2,0,389546,0,1,0.0,2,-7076,16015,23091,55,False,0,2,123,8,van Aanholt
746,0,2,23,0,1.1,123,25,1,1,7.0,48.2,2019-08-24T14:00:00Z,90,12,0,0,0,0,3,0,351795,2,1,21.0,10,-40933,6382,47315,55,False,0,3,123,18,van Aanholt
747,0,0,21,1,17.4,123,34,0,0,5.1,17.8,2019-08-31T14:00:00Z,90,2,0,0,0,0,4,0,594396,0,1,16.0,6,180337,207398,27061,55,True,0,4,123,24,van Aanholt
748,0,0,6,0,1.3,123,48,4,0,1.2,4.8,2019-09-14T14:00:00Z,90,17,1,0,0,0,5,0,808632,0,4,6.0,-2,183251,226877,43626,56,False,0,5,123,22,van Aanholt
749,0,0,10,0,3.2,123,54,1,0,2.6,11.2,2019-09-22T13:00:00Z,90,20,0,0,0,0,6,0,796583,1,1,12.0,2,-11529,51040,62569,56,True,0,6,123,24,van Aanholt
750,0,0,24,1,18.7,123,64,0,0,3.1,8.6,2019-09-28T14:00:00Z,90,14,0,0,0,0,7,0,784275,0,2,4.0,6,-17333,35606,52939,56,True,0,7,123,30,van Aanholt
751,0,1,26,0,24.3,123,80,1,1,8.6,44.4,2019-10-05T16:30:00Z,90,19,0,0,0,0,8,0,781601,2,1,17.0,9,-6168,23246,29414,56,False,0,8,123,39,van Aanholt
752,0,0,19,0,17.1,123,84,2,0,5.0,14.8,2019-10-19T16:30:00Z,90,11,0,0,0,0,9,0,831471,2,0,18.0,1,39992,67231,27239,56,True,0,9,123,40,van Aanholt
753,0,0,12,0,26.8,123,91,2,0,6.4,18.0,2019-10-27T16:30:00Z,90,1,0,0,0,0,10,0,850342,2,2,19.0,1,16034,36244,20210,56,False,0,10,123,41,van Aanholt
754,0,0,14,0,1.8,123,105,2,0,1.9,15.4,2019-11-03T14:00:00Z,90,9,0,0,0,0,11,0,835564,2,0,2.0,1,-16299,25272,41571,56,True,0,11,123,42,van Aanholt
755,0,0,11,0,12.2,123,112,2,0,2.4,11.8,2019-11-09T12:30:00Z,90,6,0,0,0,0,12,0,795061,0,2,0.0,1,-39202,7244,46446,56,False,0,12,123,43,van Aanholt
756,0,2,34,1,0.0,235,9,0,0,4.3,43.0,2019-08-11T15:30:00Z,90,6,0,0,0,0,1,7,610697,0,4,0.0,10,0,0,0,55,True,0,1,235,10,de Gea
757,0,0,11,0,0.0,235,20,1,0,1.3,13.0,2019-08-19T19:00:00Z,90,20,0,0,0,0,2,1,1214601,1,1,0.0,2,361048,394301,33253,56,False,0,2,235,12,de Gea
