id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
16,0,0,3,0.0,0.0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.9,False,,n,1,3,46.0,4,22554,20,110425,410,0.0,0.6,Mkhitaryan,1
497,0,0,14,0.0,0.0,1,160987,0,0,-2,2,6.3,0,3,0.0,0.0,0,Jean-Philippe,0.0,0,0,2.6,False,20.0,135,Thigh injury - Expected back 18 Jan,2019-08-23T21:30:13.493993Z,48,0,0,0,160987.jpg,2.0,0,0,Gbamin,0.0,False,,i,8,11,0.0,4,2598,6,6574,30,0.0,0.8,Gbamin,0
132,0,0,27,,,0,20066,0,0,-1,1,0.0,0,1,0.5,0.0,4,Wayne,1.0,2,0,5.5,False,55.2,90,,,44,0,0,0,20066.jpg,4.0,0,9,Hennessey,0.7,False,,a,7,31,0.0,4,7446,791,33498,281,0.2,0.9,Hennessey,0
98,0,0,14,100.0,100.0,0,90517,0,0,0,0,21.4,0,3,0.5,1.0,2,Robbie,1.0,1,0,4.6,False,16.8,72,,2019-07-31T00:00:11.195874Z,55,0,0,0,90517.jpg,1.3,0,0,Brady,0.0,False,,a,5,90,8.0,4,616,54,1292,35,0.2,0.7,Brady,0
397,0,0,9,,,0,42824,0,0,-1,1,1.4,0,3,0.5,0.0,0,Carlos,0.0,0,0,0.2,False,1.2,14,,,44,0,0,0,42824.jpg,1.0,0,0,Sánchez,0.4,False,,a,19,21,0.0,3,13540,339,18787,464,0.0,0.7,Carlos Sánchez,0
492,0,0,7,100.0,100.0,0,220307,0,0,-2,2,0.9,0,3,1.5,1.5,1,Arnaut,1.0,0,0,4.1,False,7.4,45,,2019-08-12T10:00:14.019366Z,58,0,0,0,220307.jpg,1.0,0,0,Danjuma Groeneveld,0.0,False,,a,3,91,33.0,3,392,24,3741,21,0.2,0.5,Danjuma,0
53,0,0,10,100.0,100.0,0,227127,0,0,0,0,9.1,0,3,0.2,0.7,0,Yves,0.7,0,0,2.4,False,7.6,63,,2019-06-25T11:30:06.944296Z,50,0,0,0,227127.jpg,1.0,0,0,Bissouma,0.0,False,,a,4,36,7.0,3,344,14,341,25,0.1,0.6,Bissouma,0
41,0,0,15,,,0,42748,0,0,-1,1,27.9,0,2,-0.2,0.3,0,Gaëtan,0.3,3,0,5.0,False,16.0,57,,,44,0,0,0,42748.jpg,0.8,0,0,Bong,0.1,False,,a,4,36,6.0,3,1366,24,5145,104,0.1,0.7,Bong,0
435,0,0,12,100.0,100.0,0,124165,0,0,-2,2,0.6,0,3,-0.3,0.2,0,Patrick,0.7,2,0,0.5,False,4.4,24,,2019-09-13T13:30:19.697982Z,53,0,0,0,124165.jpg,1.0,0,0,Roberts,0.1,False,,a,14,45,0.0,3,1126,14,6036,72,0.1,0.6,Roberts,0
80,0,0,9,100.0,100.0,0,15237,0,0,-2,2,2.2,0,3,0.5,0.5,0,Andrew,0.0,1,0,0.9,False,6.4,57,,2019-06-25T11:30:07.022396Z,48,0,0,0,15237.jpg,1.0,0,0,Surman,0.0,False,,a,3,91,0.0,3,799,21,2902,37,0.0,0.6,Surman,0
